path,group,before_cumulation,length,plDDT
O43298,Unknotted,"{'0_1': 0.512, '3_1': 0.436}",467,57.195536585365744
O75914,Unknotted,"{'0_1': 0.572, '3_1': 0.402}",559,72.83372369624902
Q13094,Unknotted,"{'0_1': 0.528, '3_1': 0.228, '4_1': 0.104}",533,62.80432235294075
Q13224,Unknotted,"{'0_1': 0.518, '5_2': 0.238, '3_1': 0.078, '4_1': 0.054}",1484,60.44912199709366
Q5JPE7,Unknotted,"{'0_1': 0.614, '3_1': 0.27, '4_1': 0.056}",1267,78.87582366116898
Q5T1N1,Unknotted,"{'0_1': 0.556, '5_2': 0.146, '3_1': 0.124, '6_1': 0.07, '4_1': 0.056}",836,49.88003222836118
Q8IYB3,Unknotted,"{'0_1': 0.518, '3_1': 0.192, '4_1': 0.176}",904,51.83478121961389
Q8N5Q1,Unknotted,"{'0_1': 0.58, '3_1': 0.174, '4_1': 0.116}",922,44.28700953193882
Q96PX6,Unknotted,"{'0_1': 0.622, '3_1': 0.186, '4_1': 0.088}",553,60.14552387740551
Q9BRD0,Unknotted,"{'0_1': 0.566, '4_1': 0.2, '3_1': 0.14}",619,60.243807893676966
Q9H9J4,Unknotted,"{'0_1': 0.512, '4_1': 0.162, '3_1': 0.146}",1324,49.21040826316848
Q9NRR4,Unknotted,"{'0_1': 0.528, '3_1': 0.266}",1374,71.33386570358512
A0A024R1R8,Unknotted,{'0_1': 1.0},64,73.21336693548383
A0A024RBG1,Unknotted,"{'0_1': 0.89, '4_1': 0.07}",181,85.18459290187862
A0A075B6H7,Unknotted,{'0_1': 0.99},116,90.02326666666697
A0A075B6H8,Unknotted,{'0_1': 0.98},117,90.92456427015236
A0A075B6H9,Unknotted,{'0_1': 0.98},119,89.61434782608731
A0A075B6I0,Unknotted,{'0_1': 0.99},122,89.72867335562984
A0A075B6I1,Unknotted,{'0_1': 0.98},120,89.41881708652807
A0A075B6I3,Unknotted,{'0_1': 0.97},123,89.71037756202801
A0A075B6I4,Unknotted,{'0_1': 0.98},117,88.14722158438576
A0A075B6I6,Unknotted,{'0_1': 1.0},118,89.62528801843338
A0A075B6I7,Unknotted,{'0_1': 1.0},105,89.55558638083217
A0A075B6I9,Unknotted,{'0_1': 0.97},117,88.54042141230082
A0A075B6J1,Unknotted,{'0_1': 0.98},123,91.29425053533178
A0A075B6J2,Unknotted,{'0_1': 0.98},118,84.24883538633837
A0A075B6J6,Unknotted,{'0_1': 0.96},115,88.78740656851642
A0A075B6J9,Unknotted,{'0_1': 0.99},118,86.09895642201856
A0A075B6K0,Unknotted,{'0_1': 0.99},115,89.17841324200923
A0A075B6K2,Unknotted,{'0_1': 0.98},115,88.90345977011505
A0A075B6K4,Unknotted,{'0_1': 0.99},115,87.9764302059498
A0A075B6K5,Unknotted,{'0_1': 1.0},115,90.57700805523595
A0A075B6K6,Unknotted,{'0_1': 0.95},122,87.68771611526113
A0A075B6L2,Unknotted,{'0_1': 0.94},119,78.2935135135133
A0A075B6L6,Unknotted,{'0_1': 0.99},115,87.70783505154657
A0A075B6N1,Unknotted,"{'0_1': 0.93, '3_1': 0.06}",114,90.73160893854741
A0A075B6N2,Unknotted,{'0_1': 0.96},111,93.1894131455401
A0A075B6N3,Unknotted,{'0_1': 0.94},115,90.64618522602008
A0A075B6N4,Unknotted,{'0_1': 0.98},114,89.87759340659328
A0A075B6P5,Unknotted,{'0_1': 0.98},120,90.94290429042903
A0A075B6Q5,Unknotted,{'0_1': 0.94},118,89.71001106194699
A0A075B6R0,Unknotted,{'0_1': 0.96},118,87.17142553191484
A0A075B6R2,Unknotted,{'0_1': 0.99},117,91.07188325991163
A0A075B6R9,Unknotted,{'0_1': 0.98},120,87.14055374592846
A0A075B6S0,Unknotted,{'0_1': 1.0},16,76.04039370078739
A0A075B6S2,Unknotted,{'0_1': 0.99},120,90.54752979414931
A0A075B6S4,Unknotted,{'0_1': 0.99},117,89.67504994450599
A0A075B6S5,Unknotted,{'0_1': 0.97},117,90.06956228956217
A0A075B6S6,Unknotted,{'0_1': 0.96},120,90.53184068891288
A0A075B6S9,Unknotted,{'0_1': 0.98},117,88.43773542600879
A0A075B6T6,Unknotted,{'0_1': 0.97},113,93.36329281767966
A0A075B6T7,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",132,82.676912442396
A0A075B6T8,Unknotted,{'0_1': 0.97},112,92.48463133640557
A0A075B6U4,Unknotted,{'0_1': 0.97},112,89.84156462585035
A0A075B6V5,Unknotted,{'0_1': 0.96},113,91.77077441077454
A0A075B6W5,Unknotted,{'0_1': 0.97},121,90.93811518324625
A0A075B6X5,Unknotted,{'0_1': 0.98},111,91.70918671248565
A0A075B6Y3,Unknotted,{'0_1': 1.0},20,86.55195945945948
A0A075B6Y9,Unknotted,{'0_1': 1.0},20,85.33662068965518
A0A075B700,Unknotted,{'0_1': 0.99},18,86.42202898550735
A0A075B706,Unknotted,{'0_1': 1.0},16,86.72250000000005
A0A075B734,Unknotted,{'0_1': 0.95},347,81.61853831775673
A0A075B759,Unknotted,"{'0_1': 0.78, '3_1': 0.1, '4_1': 0.09}",164,96.73331250000012
A0A075B767,Unknotted,"{'0_1': 0.74, '3_1': 0.12, '4_1': 0.07, '5_2': 0.06}",164,95.93275781249977
A0A087WSX0,Unknotted,{'0_1': 0.95},123,88.30660173160204
A0A087WSY4,Unknotted,{'0_1': 0.96},118,90.82138979370264
A0A087WSY6,Unknotted,{'0_1': 0.99},115,89.70016987542454
A0A087WSZ0,Unknotted,{'0_1': 0.97},117,90.44684444444421
A0A087WSZ9,Unknotted,"{'0_1': 0.92, '3_1': 0.06}",112,90.89968397291214
